name,tier,helmet_heal,helmet_use,helmet_jump,helmet_speed,helmet_gravity,helmet_fleshy,helmet_cracky,helmet_snappy,helmet_choppy,helmet_crumbly,helmet_level,chestplate_heal,chestplate_use,chestplate_jump,chestplate_speed,chestplate_gravity,chestplate_fleshy,chestplate_cracky,chestplate_snappy,chestplate_choppy,chestplate_crumbly,chestplate_level,leggings_heal,leggings_use,leggings_jump,leggings_speed,leggings_gravity,leggings_fleshy,leggings_cracky,leggings_snappy,leggings_choppy,leggings_crumbly,leggings_level,boots_heal,boots_use,boots_jump,boots_speed,boots_gravity,boots_fleshy,boots_cracky,boots_snappy,boots_choppy,boots_crumbly,boots_level,shields_heal,shields_use,shields_jump,shields_speed,shields_gravity,shields_fleshy,shields_cracky,shields_snappy,shields_choppy,shields_crumbly,shields_level
rhodium,6,8.35,60,0.09,0.12,-0.08,15,2,3,2,1,2,8.35,60,0.09,0.12,-0.08,20,2,3,2,1,2,8.35,60,0.09,0.12,-0.08,20,2,3,2,1,2,8.35,60,0.09,0.12,-0.08,15,2,3,2,1,2,8.35,60,0.09,0.12,-0.08,15,2,3,2,1,2
tantalum,6,8.2,60,0.1,0.16,-0.09,14.5,2,3,2,1,2,8.2,60,0.1,0.16,-0.09,19.5,2,3,2,1,2,8.2,60,0.1,0.16,-0.09,19.5,2,3,2,1,2,8.2,60,0.1,0.16,-0.09,14.5,2,3,2,1,2,8.2,60,0.1,0.16,-0.09,14.5,2,3,2,1,2
ruthenium,5,8,80,0.08,0.08,-0.08,13.75,2,3,2,1,2,8,80,0.08,0.08,-0.08,18.75,2,3,2,1,2,8,80,0.08,0.08,-0.08,18.75,2,3,2,1,2,8,80,0.075,0.075,-0.075,13.75,2,3,2,1,2,8,80,0.08,0.08,-0.08,13.75,2,3,2,1,2
cobalt,5,8.25,80,0.09,0.09,-0.09,13.5,2,3,2,1,2,8.25,80,0.09,0.09,-0.09,18.5,2,3,2,1,2,8.25,80,0.09,0.09,-0.09,18.5,2,3,2,1,2,8.25,80,0.09,0.09,-0.09,13.5,2,3,2,1,2,8.25,80,0.09,0.09,-0.09,13.5,2,3,2,1,2
platinum,4,7.75,100,0.03,0.03,-0.03,13.5,2,3,2,1,2,7.75,100,0.03,0.03,-0.03,18.5,2,3,2,1,2,7.75,100,0.03,0.03,-0.03,18.5,2,3,2,1,2,7.75,100,0.03,0.03,-0.03,13.5,2,3,2,1,2,7.75,100,0.03,0.03,-0.03,13.5,2,3,2,1,2
aluminum,4,7.5,100,0.06,0.06,-0.06,13,2,3,2,1,2,7.5,100,0.06,0.06,-0.06,18,2,3,2,1,2,7.5,100,0.06,0.06,-0.06,18,2,3,2,1,2,7.5,100,0.06,0.06,-0.06,13,2,3,2,1,2,7.5,100,0.06,0.06,-0.06,13,2,3,2,1,2
stainlesssteel,2,6,175,,0.01,0.01,10,2,3,2,1,2,6,175,,-0.04,0.04,15,2,3,2,1,2,6,175,,-0.03,0.03,15,2,3,2,1,2,6,175,,-0.01,0.01,10,2,3,2,1,2,6,175,,-0.03,0.03,10,2,3,2,1,2
lead,3,0,600,,-0.01,0.04,11,2,3,2,1,2,0,600,,-0.06,0.04,16,2,3,2,1,2,0,600,,-0.06,0.04,16,2,3,2,1,2,0,600,,-0.06,0.04,11,2,3,2,1,2,0,600,,-0.06,0.04,11,2,3,2,1,2
nickel,2,5,350,,0.01,0.01,11,2,3,2,1,2,5,350,,-0.04,0.04,16,2,3,2,1,2,5,350,,-0.03,0.03,16,2,3,2,1,2,5,350,,-0.01,0.01,11,2,3,2,1,2,5,350,,-0.03,0.03,11,2,3,2,1,2
silver,3,7.5,300,0.02,0.02,-0.02,11,2,3,2,1,2,7.5,300,0.02,0.02,-0.02,16,2,3,2,1,2,7.5,300,0.02,0.02,-0.02,16,2,3,2,1,2,7.5,300,0.02,0.02,-0.02,11,2,3,2,1,2,7.5,300,0.02,0.02,-0.02,11,2,3,2,1,2
defender,5,8,80,0.08,0.08,-0.08,14.25,2,3,2,1,2,8,80,0.08,0.08,-0.08,19.25,2,3,2,1,2,8,80,0.08,0.08,-0.08,19.25,2,3,2,1,2,8,80,0.075,0.075,-0.075,14.25,2,3,2,1,2,8,80,0.08,0.08,-0.08,14.25,2,3,2,1,2
scout,5,8.75,80,0.1,0.13,-0.1,13.5,2,3,2,1,2,8.75,80,0.1,0.13,-0.1,18.5,2,3,2,1,2,8.75,80,0.1,0.13,-0.1,18.5,2,3,2,1,2,8.75,80,0.1,0.13,-0.1,13.5,2,3,2,1,2,8.75,80,0.1,0.13,-0.1,13.5,2,3,2,1,2
shadow,6,9,50,0.1,0.25,-0.1,14.5,2,3,2,1,2,9,50,0.1,0.25,-0.1,19.5,2,3,2,1,2,9,50,0.1,0.25,-0.1,19.5,2,3,2,1,2,9,50,0.1,0.25,-0.1,14.5,2,3,2,1,2,9,50,0.1,0.25,-0.1,14.5,2,3,2,1,2
knight,6,8.5,60,0.1,0.13,-0.09,15.25,2,3,2,1,2,8.5,60,0.1,0.13,-0.09,20.25,2,3,2,1,2,8.5,60,0.1,0.13,-0.09,20.25,2,3,2,1,2,8.5,60,0.1,0.13,-0.09,15.25,2,3,2,1,2,8.5,60,0.1,0.13,-0.09,15.25,2,3,2,1,2
