name,bow_wield_scale,tier,bow_velocity,bow_acceleration,arrow_damage,is_bowarrow,distance
copper,0.9,2,15,-10,2,1,
tin,0.9,2,15,-10,2,1,
bronze,0.95,2,16,-9.75,2.5,1,
steel,1,2,17,-9.5,3,1,
stainlesssteel,1,2,19,-9,3,1,
nickel,1.05,2,18,-9.25,3.5,1,
silver,1.1,3,19,-9,4,1,
gold,1.1,4,20,-8.75,4.5,1,
mese,1.1,3,20,-8.75,4.5,1,
diamond,1.15,3,21,-8.5,5,1,
aluminum,1.3,4,20,-8.75,6,1,
lead,1.1,3,22,-8.5,5,1,
platinum,1.3,4,24,-8,6,1,
cobalt,1.4,5,27,-7.5,7,1,
ruthenium,1.4,5,28,-7.25,7,1,
tantalum,1.55,6,32.5,-6.5,9,1,
rhodium,1.55,6,33,-6.5,9,1,
shuriken,,2,20,-8,4,,8
throwing_knife,,4,25,-6,6,,8
dark shuriken,,6,50,-5,8,,8
