name,tier,color,stackmax,disabled_by_mod,overrides,orig_mod,drop_as_lump,crack,has_dust,has_block,has_nugget,has_rich,is_gemstone,is_lump_gemstone,in_desert,has_brick,has_bar_block,scarcity,num_ores,clust_size,y_min,y_max,has_lump,has_bar,lump_cooking_time,has_pick,has_axe,has_sword,has_shovel,has_spear,has_bow,tool_stick,tool_cotton,has_helmet,has_chestplate,has_leggings,has_boots,has_shield,has_brick
default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unobtanium,8,173012D0,,,,,1,6,1,,,,,,,,,17,3,3,-31000,-8700,1,1,96,,,,,,,,,,,,,,
tungsten,5,,,,,,1,4,1,,,,,,,,,14,4,4,-31000,-750,1,1,42,,,,,,,,,,,,,,
palladium,6,AC976FD0,,,,,1,5,1,1,,,,,,,,14,5,4,-31000,-3700,1,1,58,1,1,1,,,,minerdream:expensivestick,,1,1,1,1,1,
adamantite,6,AA2435D0,,,,,1,5,1,,,,,,,,,14,4,3,-31000,-2300,1,1,58,,,,,,,,,,,,,,
orichalcum,8,903F86D0,,,,,1,6,1,1,,,,,,1,,17,3,3,-31000,-6500,1,1,86,1,1,1,,1,,minerdream:expensivestick,,1,1,1,1,1,
rarium,7,,,,,,1,6,1,1,,,,,,1,,16,2,3,-31000,-5000,1,1,72,1,1,1,,1,,minerdream:expensivestick,,1,1,1,1,1,
osmium,7,1D4144D0,,,,,1,6,1,1,,,,,,,,16,3,3,-31000,-2500,1,1,64,1,1,1,,1,,minerdream:expensivestick,steel_wire,1,1,1,1,1,
rhodium,6,,,,,,1,5,1,1,,,,,,3,3,16,3,3,-31000,-1500,1,1,64,1,1,1,,1,1,minerdream:expensivestick,steel_wire,1,1,1,1,1,
calcium,1,87A9AFD0,,,,,1,5,1,1,,,,,,3,3,12,5,2,-31000,420,1,1,2,,,,,,,,,,,,,,
tantalum,6,,,,,,1,5,1,1,,,,,,3,3,16,3,3,-31000,-1500,1,1,64,1,1,1,,1,1,minerdream:expensivestick,steel_wire,1,1,1,1,1,
ruthenium,5,,,,,,1,4,1,1,,,,,,3,3,15,3,3,-31000,-500,1,1,32,1,1,1,1,1,1,minerdream:steelstick,steel_wire,1,1,1,1,1,
