name,tier,pick_cracky_6,pick_cracky_5,pick_cracky_4,pick_cracky_1,pick_cracky_2,pick_cracky_3,pick_crumbly_1,pick_crumbly_2,pick_crumbly_3,pick_maxlevel,pick_fleshy,axe_choppy_1,axe_choppy_2,axe_choppy_3,axe_maxlevel,axe_fleshy,sword_snappy_1,sword_snappy_2,sword_snappy_3,sword_maxlevel,sword_fleshy,shovel_crumbly_1,shovel_crumbly_2,shovel_crumbly_3,shovel_maxlevel,shovel_fleshy,fleshy,range,punch_intervall,uses,spear_fleshy,spear_range,spear_snappy_1,spear_snappy_2,spear_snappy_3
rhodium,6,6,4,3,1.25,0.5,0.2,0.6,0.25,0.1,3,12,1.2,0.4,0.25,3,12,1.25,0.55,0.05,3,14,,,,,,12,5,0.8,105,15,7.25,1.25,0.55,0.05
tantalum,6,6,4,3,1.25,0.5,0.2,0.6,0.25,0.1,3,12,1.2,0.4,0.25,3,12,1.25,0.55,0.05,3,14,,,,,,12,5,0.8,105,15,7.25,1.25,0.55,0.05
ruthenium,5,,5,3.5,1.5,0.7,0.25,,,,3,10,1.5,0.5,0.3,3,11,1.5,0.7,0.1,3,11,0.8,0.3,0.15,3,9,10,4.65,0.8,80,12,6.9,1.5,0.7,0.1
cobalt,5,,5,3.5,1.5,0.7,0.25,,,,3,9,1.5,0.5,0.3,3,10,1.5,0.7,0.1,3,10,0.8,0.3,0.15,3,8,9,4.65,0.7,80,11,6.9,1.5,0.7,0.1
platinum,4,,,3.8,1.7,0.8,0.3,,,,3,8,1.7,0.65,0.35,3,8,1.5,0.7,0.1,3,9,0.8,0.3,0.15,3,7,8,4.5,0.8,60,10,6.7,1.5,0.7,0.1
aluminum,4,,,4,1.85,0.9,0.35,,,,3,7,1.85,0.7,0.4,3,7,1.65,0.8,0.15,3,8,0.95,0.4,0.2,3,5,7,4.5,0.65,60,9,6.7,1.65,0.8,0.15
stainlesssteel,2,,,,3.6,1.4,0.7,,,,2,4.75,2.35,1.3,0.9,2,5.25,2.35,1.1,0.3,2,6.25,1.35,0.8,0.35,2,3.25,4.75,4.25,0.95,100,7.25,6.1,2.35,1.1,0.3
lead,3,,,,2.4,1.2,0.6,,,,3,9,2.2,1,0.6,3,9,2,1,0.25,3,10,1.2,0.6,0.3,3,7,9,4.3,1.6,5,11,6.25,2,1,0.25
nickel,2,,,,3.4,1.3,0.65,,,,2,5.25,2.275,1.2,0.75,2,6.75,2.2,0.95,0.275,2,6.75,1.3,0.75,0.325,2,3.75,5.25,4.25,0.9,45,7.75,6.2,2.2,0.95,0.275
gold,3,,,,2.4,1.2,0.6,,,,3,5.5,2.2,1,0.6,3,6,2,1,0.25,3,7,1.2,0.6,0.3,3,4,5.5,4.3,1.1,5,8,6.25,2,1,0.25
silver,3,,,,2.4,1.2,0.6,,,,3,5.5,2.4,1.1,0.65,3,6,2.2,1.1,0.3,3,7,1.4,0.7,0.35,3,4,5.5,4.5,0.9,45,8,6.25,2.2,1.1,0.3
flint,1,,,,4.15,1.7,0.85,,,,2,4,2.65,1.5,1.05,2,5,2.65,1.6,0.4,2,5,1.65,1,0.45,2,4,4,4.15,1.1,20,7,5.9,2.65,1.6,0.4
mese,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.25,2.2,1.1,0.3
diamond,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.3,1.65,0.8,0.15
